,scenario,num_agents,Length,Success,Time
115,empty-16-16-random-14,4,34.04163056034262,True,0.007161102
116,maze-32-32-4-random-3,4,105.5269119345812,True,0.025951264
117,maze-32-32-2-random-21,2,27.656854249492383,True,0.010296961
118,room-32-32-4-random-22,4,91.62741699796953,True,0.032561469
119,room-32-32-4-random-2,10,,False,2.5416664989999997
120,maze-128-128-2-random-7,2,249.18376618407353,True,0.177504263
121,room-32-32-4-random-15,4,100.11269837220809,True,0.078984704
122,maze-128-128-10-random-1,15,,False,0.561406171
123,room-32-32-4-random-24,20,,False,
124,random-32-32-10-random-11,4,88.76955262170048,True,0.039112761
125,den520d-random-16,4,,False,0.595120594
126,den312d-random-5,20,,False,
127,empty-48-48-random-10,10,294.5512985522207,True,0.117627569
128,den520d-random-7,15,,False,1.781815613
129,warehouse-20-40-10-2-1-random-2,2,,True,0.25075887
130,Berlin_1_256-random-6,10,,False,1.3869615770000001
131,empty-32-32-random-5,2,50.28427124746191,True,0.013772441
132,empty-48-48-random-13,20,,False,
133,orz900d-random-1,20,,False,
134,lt_gallowstemplar_n-random-6,20,,False,
135,warehouse-20-40-10-2-1-random-24,10,1914.0142853498737,True,1.36739016
136,warehouse-20-40-10-2-2-random-9,20,,False,
137,den312d-random-4,10,314.85281374238565,True,0.213652755
138,ht_chantry-random-19,20,,False,
139,ht_mansion_n-random-19,4,444.07821048680177,True,0.572532329
140,lak303d-random-7,2,419.7594513539342,True,0.394880479
141,room-64-64-16-random-24,10,,False,3.530304143
142,brc202d-random-21,2,,False,1.448887532
143,Berlin_1_256-random-22,4,,False,0.391173831
144,lak303d-random-2,2,131.88225099390849,True,0.167783449
145,maze-128-128-1-random-2,2,,True,6.10969522
146,ost003d-random-13,4,631.423448278363,True,0.593600553
147,maze-32-32-2-random-7,20,,False,
148,maze-128-128-1-random-23,10,,False,6.563959454
149,room-32-32-4-random-14,15,,False,
150,orz900d-random-25,10,,False,
151,brc202d-random-10,4,,False,3.238311395
152,Paris_1_256-random-10,2,233.8650070512053,True,0.38626029
153,den312d-random-23,4,,False,
154,orz900d-random-21,20,,False,
155,empty-32-32-random-19,20,,False,
156,random-64-64-20-random-16,10,375.3919189857866,True,2.51312695
157,ht_mansion_n-random-5,2,157.43860018001251,True,0.198378416
158,Berlin_1_256-random-5,10,,False,1.4131766510000001
159,empty-32-32-random-21,15,,False,
160,brc202d-random-22,10,,False,5.183251192
161,maze-32-32-4-random-7,4,117.35533905932736,True,0.026683944
162,ht_chantry-random-18,20,,False,
163,maze-128-128-1-random-21,4,,True,0.608486492
164,empty-8-8-random-14,10,44.79898987322333,True,0.043866375
165,empty-8-8-random-5,10,41.97056274847714,True,0.039780399
166,empty-32-32-random-17,20,,False,
167,empty-32-32-random-7,10,194.83556979968264,True,0.090509022
168,room-32-32-4-random-3,4,92.97056274847714,True,0.183812055
169,Berlin_1_256-random-24,20,,False,
170,warehouse-20-40-10-2-2-random-13,4,510.01219330881975,True,0.962964224
171,warehouse-10-20-10-2-1-random-12,10,629.2375900532361,True,0.283588908
172,maze-32-32-2-random-13,20,,False,
173,room-64-64-8-random-24,15,,False,
174,den520d-random-2,10,1606.0895372438458,True,3.3348274829999998
175,maze-32-32-2-random-5,20,,False,
176,empty-32-32-random-6,15,,False,3.398627699
177,empty-32-32-random-5,20,,False,
178,empty-16-16-random-22,2,8.242640687119284,True,0.002587722
179,orz900d-random-21,10,,False,
180,Berlin_1_256-random-11,10,,False,0.782524112
181,warehouse-20-40-10-2-1-random-2,10,1772.9482681718916,True,1.249788065
182,den312d-random-2,2,44.041630560342625,True,0.039557654
183,Paris_1_256-random-7,20,,False,6.892924358
184,empty-48-48-random-24,4,85.01219330881977,True,0.035309206
185,Paris_1_256-random-5,20,,False,7.337789821
186,empty-32-32-random-13,10,181.16652224137047,True,1.105367438
187,warehouse-20-40-10-2-2-random-12,2,215.2842712474619,True,0.470283321
188,random-32-32-20-random-22,20,,False,
189,maze-32-32-4-random-11,20,,False,
190,room-64-64-8-random-11,2,65.21320343559643,True,0.029737425
191,lt_gallowstemplar_n-random-3,4,532.2792206135784,True,0.615743706
192,random-32-32-10-random-17,20,,False,
193,Paris_1_256-random-8,10,,False,0.783412102
194,lt_gallowstemplar_n-random-14,10,,False,
195,room-64-64-8-random-19,15,,False,
196,warehouse-20-40-10-2-1-random-1,10,1944.9137802864864,True,1.42812953
197,Boston_0_256-random-18,20,,False,7.162580087
198,random-64-64-10-random-4,20,,False,
199,random-64-64-20-random-24,20,,False,
200,random-64-64-20-random-9,10,483.26197667087536,True,0.299011594
201,Boston_0_256-random-25,4,,False,0.649245863
202,empty-16-16-random-16,2,16.242640687119284,True,0.011167387
203,random-64-64-20-random-17,10,229.68124086713192,True,0.1949997
204,random-32-32-10-random-19,10,202.48023074035527,True,0.072916162
205,maze-128-128-10-random-9,15,,False,0.894554222
206,random-64-64-10-random-5,15,468.1736649163069,True,0.425368813
207,empty-32-32-random-24,2,14.899494936611665,True,0.004577168
208,warehouse-10-20-10-2-1-random-25,4,313.59797974644687,True,0.123543376
209,maze-32-32-2-random-12,20,,False,
210,ht_mansion_n-random-25,20,,False,
211,brc202d-random-8,2,,False,2.068852727
212,room-32-32-4-random-21,10,,False,2.193033802
213,warehouse-10-20-10-2-2-random-10,15,1457.9676041556475,True,6.311666258
214,maze-32-32-4-random-7,2,82.04163056034261,True,0.0174294
215,lak303d-random-20,15,,False,
216,empty-8-8-random-11,10,42.72792206135785,True,0.404564315
217,maze-128-128-10-random-1,2,,False,0.086439383
218,ost003d-random-6,20,,False,
219,maze-32-32-2-random-10,4,245.59797974644664,True,0.134040553
220,den520d-random-9,15,,False,
221,room-32-32-4-random-16,20,,False,
222,warehouse-20-40-10-2-1-random-22,20,,False,
223,maze-128-128-10-random-4,20,,False,5.330117153
224,ht_mansion_n-random-7,20,,False,
225,warehouse-10-20-10-2-2-random-2,2,91.45584412271572,True,0.101613543
226,warehouse-10-20-10-2-1-random-21,10,601.8528137423857,True,0.325178168
227,ost003d-random-24,15,1708.0256121069162,True,7.433795799
228,warehouse-20-40-10-2-2-random-17,10,,False,1.6940461180000002
229,brc202d-random-12,10,,False,6.491168523
230,orz900d-random-8,10,,False,
231,warehouse-10-20-10-2-1-random-21,15,1047.3380951166243,True,0.495625959
232,den312d-random-23,20,,False,
233,maze-32-32-4-random-18,10,,False,
234,Boston_0_256-random-21,20,,False,
235,w_woundedcoast-random-21,20,,False,
236,orz900d-random-10,15,,False,
237,warehouse-20-40-10-2-2-random-23,15,,False,2.921788667
238,warehouse-10-20-10-2-1-random-1,20,,False,
239,maze-32-32-4-random-5,10,356.7523086789974,True,0.480393083
240,maze-32-32-4-random-17,10,,False,3.662679723
241,maze-128-128-10-random-6,15,,False,0.863494635
242,ost003d-random-22,20,,False,
243,random-64-64-10-random-13,10,342.63455967290594,True,0.367809311
244,empty-32-32-random-18,4,86.63961030678928,True,0.615223495
245,maze-128-128-10-random-13,15,,False,0.758403396
246,maze-32-32-2-random-24,4,209.8406204335659,True,0.151024181
247,random-64-64-10-random-4,4,152.32590180780454,True,0.110425729
248,warehouse-10-20-10-2-2-random-12,4,258.98275605729697,True,0.226850851
249,random-64-64-20-random-13,2,96.698484809835,True,0.057094876
250,warehouse-10-20-10-2-2-random-8,15,1169.6883835420686,True,1.030491401
251,room-64-64-16-random-8,2,21.071067811865476,True,0.014545643
252,den312d-random-18,10,394.03657992645924,True,1.9159155650000002
253,brc202d-random-2,10,,False,4.910274128
254,empty-8-8-random-9,4,22.485281374238568,True,0.039872134
255,room-64-64-16-random-16,2,72.66904755831212,True,0.025015542
256,ht_mansion_n-random-19,10,915.1269837220807,True,1.317236874
257,maze-128-128-2-random-5,20,,False,
258,empty-48-48-random-17,2,49.87005768508881,True,0.02129856
259,lak303d-random-12,10,,False,
260,ost003d-random-11,15,,False,
261,empty-8-8-random-25,10,33.970562748477136,True,0.669594868
262,Berlin_1_256-random-18,15,,False,1.663205957
263,lak303d-random-5,10,,False,
264,den520d-random-7,20,,False,7.493629185
265,Berlin_1_256-random-12,10,,False,0.721428417
266,maze-128-128-10-random-5,20,,False,5.229028617
267,ht_chantry-random-5,15,,False,
268,warehouse-10-20-10-2-1-random-10,2,286.8822509939088,True,0.128935725
269,maze-128-128-1-random-18,2,,True,1.175280983
270,warehouse-10-20-10-2-1-random-4,10,486.99494936611677,True,0.322801896
271,random-64-64-10-random-16,4,112.01219330881975,True,0.082280248
272,room-32-32-4-random-1,15,,False,2.8699451700000003
273,room-64-64-16-random-14,2,81.59797974644665,True,0.03674522
274,den312d-random-13,4,179.88225099390849,True,0.161818074
275,warehouse-20-40-10-2-1-random-19,2,465.84062043356613,True,0.354551605
276,random-64-64-10-random-11,10,339.5391052434009,True,0.299258568
277,room-64-64-8-random-6,2,91.18376618407355,True,0.040180908
278,room-32-32-4-random-4,20,,False,
279,warehouse-10-20-10-2-1-random-19,2,200.62741699796953,True,0.078398364
280,room-32-32-4-random-12,15,,False,1.898544451
281,lt_gallowstemplar_n-random-19,15,1391.3940110268395,True,2.380489173
282,warehouse-20-40-10-2-1-random-21,4,686.8111831820431,True,0.532797014
283,random-64-64-10-random-19,2,42.48528137423857,True,0.035995634
284,brc202d-random-15,4,,False,3.857710359
285,maze-128-128-2-random-20,4,,False,
286,ht_chantry-random-24,4,263.25483399593895,True,0.253948756
287,empty-48-48-random-7,10,279.9949493661166,True,0.116402754
288,warehouse-10-20-10-2-2-random-6,10,891.4213562373099,True,1.001601817
289,empty-8-8-random-22,2,6.82842712474619,True,0.001847022
290,ost003d-random-24,4,567.9432175380077,True,0.577698245
291,warehouse-10-20-10-2-2-random-13,4,301.0660171779823,True,0.262177694
292,random-64-64-10-random-3,20,,False,
293,brc202d-random-12,2,,False,2.364526905
294,empty-8-8-random-14,2,7.242640687119286,True,0.001643704
295,orz900d-random-16,4,,False,
296,ht_chantry-random-10,4,396.1370849898475,True,0.283482164
297,warehouse-10-20-10-2-1-random-7,10,,False,4.542970562
298,brc202d-random-24,10,,False,5.166948913
299,lt_gallowstemplar_n-random-8,20,,False,
300,lak303d-random-21,2,202.35028842544415,True,0.218280326
301,random-32-32-20-random-24,10,153.98275605729688,True,0.060251186
302,random-32-32-20-random-12,10,195.71067811865476,True,0.083776705
303,empty-32-32-random-8,15,,False,
304,ost003d-random-8,2,167.06601717798202,True,0.193902049
305,random-64-64-20-random-21,10,324.9066376115481,True,0.271865729
306,empty-32-32-random-23,20,,False,
307,warehouse-20-40-10-2-1-random-15,4,576.3259018078049,True,0.49331469
308,empty-48-48-random-19,2,43.69848480983501,True,0.017503015
309,maze-128-128-1-random-18,15,,False,
310,ht_chantry-random-7,2,96.66904755831212,True,0.10002083
311,ost003d-random-11,10,,False,
312,ht_chantry-random-3,20,,False,
313,w_woundedcoast-random-3,10,,False,7.088852403
314,Paris_1_256-random-3,10,,False,1.6769555280000001
315,lak303d-random-15,10,,False,
316,Berlin_1_256-random-15,15,,False,0.997632101
317,maze-128-128-10-random-17,15,,False,0.785613598
318,maze-128-128-10-random-2,15,,False,0.755728586
319,random-64-64-10-random-8,15,594.2447327281724,True,0.590712996
320,random-64-64-20-random-1,4,167.19595949289328,True,0.099283983
321,room-64-64-16-random-8,20,,False,
322,lak303d-random-25,20,,False,
323,empty-8-8-random-15,2,,True,0.002252956
324,random-32-32-10-random-19,4,60.76955262170048,True,0.022095997
325,lt_gallowstemplar_n-random-23,15,,False,
326,random-64-64-10-random-6,10,354.10259710444126,True,0.243782863
327,room-32-32-4-random-1,10,279.8822509939086,True,0.375640376
328,maze-128-128-1-random-18,4,,False,
329,lak303d-random-4,20,,False,
330,warehouse-20-40-10-2-1-random-19,15,,False,
331,maze-32-32-2-random-25,20,,False,
332,empty-8-8-random-24,2,5.414213562373095,True,0.001485411
333,Berlin_1_256-random-7,4,505.8772003600252,True,0.86337193
334,random-32-32-10-random-5,20,,False,
335,maze-128-128-2-random-12,10,,False,
336,maze-128-128-1-random-17,20,,False,
337,den520d-random-15,2,295.0487732352791,True,0.683527762
338,ht_mansion_n-random-1,15,1212.0113267570418,True,3.040058289
339,room-32-32-4-random-8,4,64.55634918610404,True,0.022087628
340,ht_mansion_n-random-17,2,259.4386001800126,True,0.237840525
341,ost003d-random-15,20,,False,
342,maze-32-32-2-random-23,20,,False,
343,Berlin_1_256-random-2,20,,False,
344,Boston_0_256-random-25,10,,False,1.292512857
345,maze-32-32-2-random-17,2,60.72792206135786,True,0.024349384
346,ost003d-random-3,4,284.39191898578656,True,0.327411947
347,empty-8-8-random-21,4,21.071067811865476,True,0.009972923
348,empty-48-48-random-16,20,,False,
349,room-64-64-8-random-18,4,253.50966799187805,True,0.096514712
350,orz900d-random-20,2,,False,
351,lt_gallowstemplar_n-random-7,10,990.730014102411,True,1.2601265
352,empty-48-48-random-8,15,,False,7.995130191
353,empty-48-48-random-25,10,239.10764773832474,True,0.101206237
354,Paris_1_256-random-24,2,256.07821048680205,True,0.400487439
355,ht_mansion_n-random-2,15,1272.8448045156715,True,1.7248224269999999
356,warehouse-10-20-10-2-1-random-22,10,651.3380951166243,True,0.310592253
357,random-64-64-10-random-3,2,91.59797974644665,True,0.058070349
358,lt_gallowstemplar_n-random-10,10,867.7127701597078,True,1.09292118
359,maze-128-128-1-random-15,15,,False,
360,Boston_0_256-random-25,2,,False,0.367198506
361,w_woundedcoast-random-11,10,,False,
362,warehouse-10-20-10-2-2-random-4,20,,False,
363,maze-128-128-2-random-19,2,909.462986797653,True,0.886820556
364,Paris_1_256-random-9,4,,False,0.496661227
365,Paris_1_256-random-4,15,,False,1.228118064
366,empty-48-48-random-14,4,146.27922061357853,True,0.060751184
367,empty-16-16-random-4,15,,False,1.911233948
368,den520d-random-1,2,266.62236636408636,True,0.522022503
369,empty-8-8-random-13,15,,False,1.8916261460000001
370,empty-16-16-random-21,4,27.384776310850235,True,0.007036565
371,ht_mansion_n-random-13,15,,False,
372,maze-128-128-1-random-25,2,,False,9.757149438
373,w_woundedcoast-random-24,4,,False,3.300669106
374,random-64-64-20-random-8,4,164.9116882454314,True,0.098093211
375,room-64-64-16-random-12,15,,False,
376,warehouse-10-20-10-2-2-random-12,15,,False,
377,random-32-32-10-random-17,10,165.0538238691624,True,0.100318674
378,warehouse-20-40-10-2-1-random-23,15,,False,
379,warehouse-10-20-10-2-1-random-3,4,300.28427124746213,True,0.157068182
380,w_woundedcoast-random-22,10,,False,6.603997531
381,maze-128-128-10-random-8,2,,False,0.132518847
382,lt_gallowstemplar_n-random-9,2,310.84062043356596,True,0.331558884
383,Boston_0_256-random-13,10,,False,1.85325509
384,random-32-32-20-random-7,15,,False,0.689169359
385,random-64-64-10-random-14,4,170.3675323681471,True,0.107472934
386,orz900d-random-10,4,,False,
387,warehouse-10-20-10-2-2-random-5,20,,False,
388,maze-128-128-10-random-23,2,,True,0.399098173
389,empty-16-16-random-5,15,,False,3.30594671
390,maze-32-32-4-random-5,20,,False,
391,random-32-32-20-random-3,4,90.76955262170048,True,0.029162799
392,maze-32-32-4-random-16,15,,False,3.275664918
393,den520d-random-17,15,,False,2.035949547
394,ht_chantry-random-15,15,,False,
395,room-32-32-4-random-3,10,,False,4.636304331
396,den312d-random-16,4,138.05382386916233,True,0.091342894
397,room-64-64-8-random-4,10,,False,2.968975019
398,maze-128-128-2-random-13,10,,False,
399,Paris_1_256-random-3,15,,False,1.997729715
400,empty-16-16-random-2,4,48.798989873223334,True,0.16774791
401,maze-128-128-10-random-7,10,,False,0.51603029
402,random-64-64-20-random-21,20,,False,
403,ost003d-random-16,10,1182.8935777509514,True,1.321022452
404,empty-16-16-random-15,10,,False,1.211870986
405,ht_chantry-random-15,10,739.2152954766495,True,0.64476348
406,maze-32-32-2-random-15,20,,False,
407,empty-8-8-random-10,4,18.31370849898476,True,0.003959489
408,warehouse-10-20-10-2-2-random-24,20,,False,
409,random-32-32-10-random-15,10,211.61017305526644,True,0.097773135
410,ht_chantry-random-3,4,341.86500705120534,True,0.327997306
411,Boston_0_256-random-3,15,,False,2.001291913
412,w_woundedcoast-random-17,4,,False,3.123590766
413,warehouse-10-20-10-2-2-random-2,4,308.2670273047587,True,0.249453974
414,empty-32-32-random-12,15,277.42135623730957,True,1.497135417
415,warehouse-10-20-10-2-2-random-11,15,1219.019335983756,True,1.6191306079999999
416,empty-8-8-random-18,20,,False,1.444327949
417,ost003d-random-21,4,705.6955262170052,True,1.152382017
418,maze-32-32-4-random-3,15,,False,2.606507869
419,random-64-64-10-random-7,15,,False,9.427320713
420,den312d-random-13,20,,False,
421,warehouse-10-20-10-2-1-random-7,20,,False,
422,room-32-32-4-random-4,10,307.29646455628165,True,0.326700405
423,den312d-random-7,2,152.52691193458116,True,0.122809569
