,scenario,num_agents,Solved,Length,Reduction,Pibt solve time,Solve time
73,Boston_0_256-random-13,20,True,2945.378483245717,9.615718008872394,4.5459,4.7607
74,orz900d-random-20,2,False,2570.372075387766,0.0,1.5727,2.5431
75,den312d-random-4,2,True,97.65875956324079,6.95028925767698,0.0309,0.037
76,den312d-random-14,20,True,1132.925819918531,2.5954554686035536,0.3233,0.398
77,random-32-32-10-random-24,4,True,64.2962571168982,11.399271769312803,0.0194,0.0228
78,room-32-32-4-random-25,100,True,3258.5448582703207,0.6337991606712707,0.4194,0.8674
79,warehouse-10-20-10-2-1-random-24,4,False,2195.251841347991,0.30245749332240923,0.1741,0.3083
80,warehouse-10-20-10-2-1-random-19,15,True,1073.9299079245025,2.510289668766513,0.4055,0.5003
81,den312d-random-13,2,True,105.82965137464302,4.111608637191682,0.0321,0.0368
82,den520d-random-12,20,True,3220.6961442939037,9.193109297967995,3.0159,3.3095
83,Boston_0_256-random-11,4,True,596.2058483446401,11.333430397352954,0.9866,1.0452
84,maze-128-128-10-random-6,4,False,476.2753780554974,10.809854296723332,0.0932,0.2343
85,Boston_0_256-random-23,10,True,1684.733969547377,10.299367995171945,3.3322,3.4349
86,Berlin_1_256-random-2,10,True,1408.883431964878,12.574257850503107,2.1815,2.2816
87,ht_chantry-random-23,2,True,100.55110054838705,14.907286225282611,0.0388,0.0467
88,empty-48-48-random-9,100,True,3112.4206805218955,2.720640403695996,1.3628,1.7335
89,maze-32-32-4-random-5,10,True,379.4151235142631,5.7157679171753575,0.0608,0.0907
90,room-32-32-4-random-8,10,True,214.75526580471544,8.368167026064226,0.0368,0.0528
91,maze-32-32-2-random-15,10,True,686.6232685573891,7.258762388357696,0.0745,0.1359
92,maze-128-128-2-random-16,15,True,8156.217006860805,12.819761708612104,1.1735,1.734
93,warehouse-10-20-10-2-2-random-8,15,True,1302.2292661177491,2.630908235876924,0.7285,0.8198
94,random-64-64-20-random-16,10,True,362.94924947067835,9.029041185254982,0.1583,0.1853
95,ht_chantry-random-21,100,True,9140.71685879966,4.638523200604851,3.9246,4.9829
96,Berlin_1_256-random-1,20,True,2554.0614712014817,15.547315332161975,3.9163,4.1645
97,warehouse-20-40-10-2-2-random-3,4,True,540.8262417556836,14.687856010178212,0.7983,0.8451
98,room-64-64-8-random-3,4,True,223.19665395407785,9.08206034522308,0.0602,0.0713
99,empty-32-32-random-15,10,True,143.2761672085467,9.101626556222202,0.0493,0.0619
100,den312d-random-7,20,True,1167.3840577989006,4.059796593245726,0.3119,0.3928
101,room-32-32-4-random-7,100,True,3534.8741035409275,0.6287683242075139,0.4345,0.8861
102,room-64-64-8-random-4,10,True,500.3188806293188,13.175212298646787,0.2164,0.2407
103,ost003d-random-16,20,True,3027.1167016401773,9.551571810879505,1.5826,1.8235
104,lak303d-random-11,100,True,15763.12320636842,6.259804854295796,7.9157,10.4831
105,Boston_0_256-random-17,10,True,1511.0163043019174,8.445301131037667,2.5434,2.6578
106,random-32-32-20-random-13,20,True,381.7334805506807,4.400192325426051,0.0839,0.111
107,empty-8-8-random-8,20,True,106.78174593052024,0.0,0.0102,0.0203
108,Berlin_1_256-random-2,4,True,495.7372049955281,13.112146635846408,0.931,0.9762
109,Boston_0_256-random-13,2,True,322.4162271108712,11.385822484114767,0.487,0.5131
110,random-32-32-10-random-22,20,True,356.1761263250997,4.776873717337288,0.1374,0.1657
111,empty-32-32-random-5,10,True,165.54674233036636,15.019748010530378,0.06,0.0706
